accession	asm5	asm10	asm20	asm5_minus_asm10	asm20_minus_asm10
GCA_000005845.2	0.06249929981825436	0.06249929981825436	0.06532157085451473	0.0	0.002822271036260371
GCA_000006805.1	91.38443646660262	91.38443646660262	91.38828709339909	0.0	0.00385062679646353
GCA_000006985.1	99.04842163098286	99.04842163098286	99.064848956772	0.0	0.01642732578913808
GCA_000007185.1	96.1153861811042	96.1153861811042	96.4002291487337	0.0	0.28484296762950123
GCA_000007225.1	20.543729161323416	20.543729161323416	21.13087926278893	0.0	0.5871501014655145
GCA_000007305.1	15.780429879429175	15.780429879429175	16.244413747421728	0.0	0.4639838679925532
GCA_000007345.1	0.7148406013604818	0.7148406013604818	0.7483971115668769	0.0	0.03355651020639516
GCA_000007565.2	97.35026908511385	97.35026908511385	97.40738769625322	0.0	0.05711861113937289
GCA_000007985.2	88.51656263240248	88.51656263240248	89.11439259510955	0.0	0.5978299627070669
GCA_000008085.1	99.66305753893478	99.66305753893478	99.67426179247686	0.0	0.011204253542075548
GCA_000008185.1	96.64670207980372	96.64670207980372	96.78837338619394	0.0	0.14167130639022218
GCA_000008565.1	42.20012691236348	42.20012691236348	42.97609492362726	0.0	0.7759680112637781
GCA_000008665.1	95.39515240543518	95.39515240543518	95.77460521483658	0.0	0.3794528094013998
GCA_000009145.1	96.66152696175875	96.66152696175875	96.68851752466311	0.0	0.026990562904359194
GCA_000009225.1	98.81445090909848	98.81445090909848	98.8561167142355	0.0	0.0416658051370149
GCA_000009705.1	97.7068796660579	97.7068796660579	97.82743227789942	0.0	0.12055261184151789
GCA_000010305.1	99.95600569683094	99.95600569683094	99.95626448684959	0.0	0.00025879001864836937
GCA_000010505.1	94.90353248522433	94.90353248522433	94.95877932095226	0.0	0.0552468357279281
GCA_000011065.1	60.77812641467671	60.77812641467671	61.705336019534116	0.0	0.9272096048574028
GCA_000011105.1	99.94610311733356	99.94610311733356	99.94869154819803	0.0	0.0025884308644634757
GCA_000011205.1	15.695484118042598	15.695484118042598	16.141424307061566	0.0	0.4459401890189678
GCA_000011585.1	85.9487808651544	85.9487808651544	86.30763145965685	0.0	0.3588505945024423
GCA_000011965.2	3.7488415682687943	3.7488415682687943	3.878529413298883	0.0	0.12968784503008868
GCA_000012825.1	93.0628919452687	93.0628919452687	93.31909019793775	0.0	0.2561982526690514
GCA_000013645.1	79.26086342625086	79.26086342625086	80.02507003805721	0.0	0.764206611806344
GCA_000015125.1	94.52171765422148	94.52171765422148	94.55480739346667	0.0	0.03308973924519876
GCA_000015805.1	98.72110517375839	98.72110517375839	98.84273878683908	0.0	0.12163361308068943
GCA_000015865.1	84.94080999640674	84.94080999640674	85.4947348646385	0.0	0.5539248682317606
GCA_000016065.1	76.72868821364648	76.72868821364648	77.46648954915423	0.0	0.7378013355077542
GCA_000016085.1	99.5763293537205	99.5763293537205	99.58192202995843	0.0	0.005592676237938576
GCA_000016125.1	98.76638163579919	98.76638163579919	98.7763310725381	0.0	0.009949436738907025
GCA_000016385.1	0.49187299276404994	0.49187299276404994	0.4911658045256276	0.0	-0.0007071882384223627
GCA_000016425.1	26.587458913968643	26.587458913968643	27.417774400284294	0.0	0.8303154863156514
GCA_000016545.1	95.76958362441188	95.76958362441188	95.81436062317462	0.0	0.04477699876274244
GCA_000016785.1	95.34019811232288	95.34019811232288	95.3557176238586	0.0	0.015519511535714514
GCA_000017325.1	43.18633291360102	43.18633291360102	43.53352494207506	0.0	0.3471920284740406
GCA_000017945.1	99.96994307681162	99.96994307681162	99.97202394072467	0.0	0.0020808639130507345
GCA_000018265.1	57.5642618910227	57.5642618910227	58.49095830695665	0.0	0.9266964159339466
GCA_000018565.1	98.93281634325312	98.93281634325312	98.93949241241896	0.0	0.0066760691658345195
GCA_000018865.1	96.5348753580128	96.5348753580128	96.7160853172011	0.0	0.1812099591883083
GCA_000018945.1	99.58229020854714	99.58229020854714	99.58738423039412	0.0	0.005094021846986152
GCA_000019085.1	95.22768594761504	95.22768594761504	95.26124759608874	0.0	0.03356164847369314
GCA_000019625.1	0.08377301294727094	0.08377301294727094	0.08435883821263647	0.0	0.0005858252653655333
GCA_000019785.1	2.8936919621387776	2.8936919621387776	2.9924005016495894	0.0	0.09870853951081182
GCA_000020225.1	98.06080998400212	98.06080998400212	98.15307371864891	0.0	0.09226373464679227
