scope	novelty_class	novelty_depth	tool	tool_label	n_genomes	n_clusters_shared_accession	n_distinct_reference_accessions	seed	bootstrap_iterations	cluster_definition	completeness_mae	completeness_mae_ci_lo	completeness_mae_ci_hi	completeness_bias	completeness_bias_ci_lo	completeness_bias_ci_hi	contamination_mae	contamination_mae_ci_lo	contamination_mae_ci_hi	contamination_bias	contamination_bias_ci_lo	contamination_bias_ci_hi	completeness_r2_cod	completeness_r2_cod_ci_lo	completeness_r2_cod_ci_hi	contamination_r2_cod	contamination_r2_cod_ci_lo	contamination_r2_cod_ci_hi	false_fail_rate_cont5	false_fail_rate_cont5_ci_lo	false_fail_rate_cont5_ci_hi	false_pass_rate_cont5	false_pass_rate_cont5_ci_lo	false_pass_rate_cont5_ci_hi	balanced_accuracy_cont5	balanced_accuracy_cont5_ci_lo	balanced_accuracy_cont5_ci_hi	completeness_r2_omitted_reason	contamination_r2_omitted_reason	cont5_n_true_pass_DENOM_false_fail	cont5_n_true_fail_DENOM_false_pass	cont5_n_false_fail	cont5_n_false_pass	false_fail_denominator_statement	false_pass_denominator_statement	true_completeness_variance	true_contamination_variance	supports_claim
pooled_five_sets	lineage_represented	0.0	magicc_v5	MAGICC v5 (released, v0.3.0)	3341	1250	1250	20340408	2000	dominant_accession shared across sets	3.171565906937652	2.990715579016566	3.349562905074841	0.3034860010957256	0.059292732420658655	0.5322863585042278	4.016710477877937	3.779142898772428	4.246808126466833	-2.045391595763909	-2.347516504895893	-1.7287457206942989	0.8858405177281329	0.8719888186465231	0.8988166959002885	0.948471432162516	0.9427511062978684	0.9540236901965606	0.005775577557755775	0.0016805315090860468	0.010145211930926209	0.012682010333489901	0.00800753650494583	0.0175461802654785	0.9907712060543772	0.987533570539912	0.9938701391193742			1212	2129	7	27	7/1212 genomes whose TRUE contamination is < 5%	27/2129 genomes whose TRUE contamination is >= 5%	289.6001169527163	932.9268123614263	True
pooled_five_sets	lineage_represented	0.0	checkm2	CheckM2 1.0.1	3341	1250	1250	20340408	2000	dominant_accession shared across sets	5.411768073457021	5.06106971663599	5.750766403964311	3.3781656320445435	2.923516071625095	3.830724056671784	19.00227306664547	17.806255709150655	20.167785504899506	-17.77020252793586	-19.03669660141977	-16.48138084870149	0.673946083564736	0.6412378522123333	0.7043546362237365	0.10693761810630786	0.0310781603798607	0.18397069461403662	0.0016501650165016502	0.0	0.004142502071251036	0.2062000939408173	0.17954833408600532	0.23205435603300828	0.8960748705213406	0.883185453037932	0.909199998725824			1212	2129	2	439	2/1212 genomes whose TRUE contamination is < 5%	439/2129 genomes whose TRUE contamination is >= 5%	289.6001169527163	932.9268123614263	True
pooled_five_sets	lineage_represented	0.0	cocopye	CoCoPyE 0.5.0	3341	1250	1250	20340408	2000	dominant_accession shared across sets	5.164010372424787	4.641292273278012	5.7191335267097285	-0.6286058201068678	-1.3046452907470985	-0.008588900675467075	13.011485737737186	12.12942185842262	13.89876609465311	-10.055349935840946	-11.087909638845181	-8.980870065857564	0.7049133335359545	0.6490267685693186	0.7573023211758655	0.5207175770925093	0.4666162078912859	0.5697772622599253	0.037953795379537955	0.02624941427936559	0.05091643128134105	0.042273367778299674	0.03109825276671902	0.05501301561874248	0.9598864184210811	0.9508108647227257	0.9685994404168745			1212	2129	46	90	46/1212 genomes whose TRUE contamination is < 5%	90/2129 genomes whose TRUE contamination is >= 5%	289.6001169527163	932.9268123614263	True
pooled_five_sets	lineage_represented	0.0	deepcheck	DeepCheck	3341	1250	1250	20340408	2000	dominant_accession shared across sets	8.52817571496036	8.067413314506904	8.984545667145838	3.231512590655948	2.4130381574073327	4.007882585592254	23.457074837183423	22.241441482509483	24.605655619257337	-20.66567601706727	-22.005096156871893	-19.25723102304326	0.4294440670518901	0.3741915149336598	0.48136317306349113	-0.26843726470176543	-0.36384199910481757	-0.1749599829441452	0.0008250825082508251	0.0	0.0025360329763378024	0.33959605448567404	0.30655618254115496	0.36904778561730456	0.8297894315030376	0.8149555102274676	0.8465821728010173			1212	2129	1	723	1/1212 genomes whose TRUE contamination is < 5%	723/2129 genomes whose TRUE contamination is >= 5%	289.6001169527163	932.9268123614263	True
pooled_five_sets	species_novel	1.0	magicc_v5	MAGICC v5 (released, v0.3.0)	1141	310	310	20331629	2000	dominant_accession shared across sets	6.3267210374411915	5.677137885195096	7.005514325336346	-1.8833914278263582	-2.958313674414211	-0.8735403877628654	6.996496698618885	6.279126847740839	7.73298064021445	-1.796911733655904	-2.9068347517007047	-0.6507155997168296	0.6888943669514873	0.6205996994585454	0.7448656793588292	0.8700354616937662	0.8453769786834826	0.8933665221060216	0.12982456140350876	0.08396876915361899	0.17687606292517005	0.009345794392523364	0.003583486215155686	0.015857677725864047	0.9304148221019839	0.907271425450973	0.9531099253764045			285	856	37	8	37/285 genomes whose TRUE contamination is < 5%	8/856 genomes whose TRUE contamination is >= 5%	273.17044956552246	886.9912536718052	True
pooled_five_sets	species_novel	1.0	checkm2	CheckM2 1.0.1	1141	310	310	20331629	2000	dominant_accession shared across sets	6.2369498294256385	5.698553330850852	6.773508187088294	1.8960860226556748	0.9166401705584082	2.8951987593815893	25.948529734289124	23.59032186323784	28.085715257871488	-24.816097876705506	-27.107022007360023	-22.301897406172852	0.6552675639664871	0.5986587674680144	0.7037151810364397	-0.4119125788290041	-0.5929889117879799	-0.22744292360540383	0.010526315789473684	0.0	0.023624716401975162	0.2932242990654206	0.253748127872747	0.33293862833191795	0.8481246925725529	0.827588536333447	0.8690872237036438			285	856	3	251	3/285 genomes whose TRUE contamination is < 5%	251/856 genomes whose TRUE contamination is >= 5%	273.17044956552246	886.9912536718052	True
pooled_five_sets	species_novel	1.0	cocopye	CoCoPyE 0.5.0	1141	310	310	20331629	2000	dominant_accession shared across sets	8.268243526975825	7.147849662586022	9.49829550920733	-4.287949685001202	-5.849774804983138	-2.7016619025185933	19.7060407515295	17.83841167331979	21.578567182252872	-14.383787523446134	-16.691236213762135	-11.857255330354752	0.41260710995750416	0.26853085999639353	0.5361777413279506	0.06752799923139319	-0.06663559861878843	0.197481389176507	0.08771929824561403	0.05154449666464524	0.12880012098167984	0.053738317757009345	0.03916046586865093	0.06922297222564569	0.9292711919986882	0.9062623521086299	0.9500294962678222			285	856	25	46	25/285 genomes whose TRUE contamination is < 5%	46/856 genomes whose TRUE contamination is >= 5%	273.17044956552246	886.9912536718052	True
pooled_five_sets	species_novel	1.0	deepcheck	DeepCheck	1141	310	310	20331629	2000	dominant_accession shared across sets	10.921227847994034	9.907895044227859	11.910903542035102	-1.0476558261286288	-2.941692181748787	0.8392569295638097	30.47809783854366	28.178112380346878	32.567060400477935	-27.00416140168579	-29.473164221819964	-24.08430428431303	0.19966196320879248	0.06690900150723761	0.3266171050924574	-0.8808951169561032	-1.0960068008195865	-0.6671721218525696	0.0035087719298245615	0.0	0.011194029850746268	0.4602803738317757	0.4117647058823529	0.5065400931517376	0.7681054271191998	0.7453415081488511	0.7930385034655559			285	856	1	394	1/285 genomes whose TRUE contamination is < 5%	394/856 genomes whose TRUE contamination is >= 5%	273.17044956552246	886.9912536718052	True
pooled_five_sets	genus_novel	2.0	magicc_v5	MAGICC v5 (released, v0.3.0)	339	63	63	20334546	2000	dominant_accession shared across sets	10.272667987421215	8.440850898779777	12.345980340668433	-6.142239692214083	-9.00397715626498	-3.309468750900683	9.858293650565038	7.929451353601794	11.943855833147726	-2.641907972397954	-5.419611782727508	0.10391816220923615	0.28534856563746147	0.001344229256280418	0.5115245480024728	0.7563407815046683	0.6336926611669252	0.8480610852111881	0.27450980392156865	0.12727272727272726	0.4482758620689655	0.017361111111111112	0.003983276380643435	0.032467532467532464	0.8540645424836601	0.767354112273292	0.9272456618383845			51	288	14	5	14/51 genomes whose TRUE contamination is < 5%	5/288 genomes whose TRUE contamination is >= 5%	280.029732159441	808.6485879075234	True
pooled_five_sets	genus_novel	2.0	checkm2	CheckM2 1.0.1	339	63	63	20334546	2000	dominant_accession shared across sets	7.471414431495241	6.571162805450785	8.345640106868748	-0.8981754031285375	-2.8205148539384157	1.3891545043230868	34.25867989452392	30.246716635297496	37.79355555014685	-33.89172326329943	-37.49747530279431	-29.78030203389438	0.6180596121658278	0.5121595541164052	0.7025622345304744	-1.2276490865384773	-1.6452089531559515	-0.8246235923934949	0.0	0.0	0.0	0.4340277777777778	0.3512373036401489	0.5063301217447392	0.7829861111111112	0.7468349391276304	0.8243813481799255			51	288	0	125	0/51 genomes whose TRUE contamination is < 5%	125/288 genomes whose TRUE contamination is >= 5%	280.029732159441	808.6485879075234	True
