dataset	track	cohort	tool	n	n_clusters	cluster_unit	true_comp_mean	true_cont_mean	comp_MAE	comp_MAE_95CI	comp_bias	comp_bias_95CI	comp_R2_CoD	cont_MAE	cont_MAE_95CI	cont_bias	cont_bias_95CI	cont_R2_CoD	true_comp_sd	true_cont_sd	true_HQ	pred_HQ	MIMAG_class_agreement_pct	false_fail_5pct_rate	procedural_independence	r2_omitted_reason
Meslier MOCK1 (indel-dense MinION assembly only)	meslier	ORF_compromised_assembly_only	CoCoPyE 0.5.0	39	39	accession	93.688	0.3052	1.7076	[1.0078, 2.5905]	-1.1696	[-2.1294, -0.36]	0.9292	107.7153	[96.3746, 119.2626]	107.7153	[96.3746, 119.2626]		11.549	1.0547	31	0	0.0	100.0		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Meslier MOCK1 (indel-dense MinION assembly only)	meslier	ORF_compromised_assembly_only	DeepCheck	39	39	accession	93.688	0.3052	56.8308	[51.7475, 61.7072]	-56.8308	[-61.7072, -51.7475]	-25.7578	4.1951	[3.24, 5.2562]	4.095	[3.0528, 5.169]		11.549	1.0547	31	0	0.0	36.84		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	MAGICC V5	308	52	accession	92.209	0.2651	4.1354	[2.877, 5.9859]	1.2715	[-1.009, 2.857]	0.5903	1.3775	[0.7935, 2.2583]	1.221	[0.6112, 2.1138]		11.431	0.6775	240	236	89.61	6.84		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	CheckM2 1.0.1	308	52	accession	92.209	0.2651	11.961	[10.563, 13.4025]	-10.2494	[-12.0166, -8.487]	-2.3595	1.8905	[1.5366, 2.2878]	1.8365	[1.4721, 2.2498]		11.431	0.6775	240	161	64.61	12.05		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	CoCoPyE 0.5.0	308	52	accession	92.209	0.2651	4.6831	[3.5341, 5.9478]	2.7097	[1.1625, 4.2115]	0.5693	22.065	[18.9119, 25.3053]	22.055	[18.9078, 25.2936]		11.431	0.6775	240	145	47.73	51.47		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	DeepCheck	308	52	accession	92.209	0.2651	13.9752	[12.3291, 15.6535]	-13.1697	[-15.0433, -11.3016]	-3.2936	1.8504	[1.5451, 2.1565]	1.6941	[1.3475, 2.0339]		11.431	0.6775	240	161	63.64	12.05		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	MAGICC V5	8	8	code	98.142	0.015	1.7517	[1.0462, 2.8506]	1.7517	[1.0462, 2.8506]	n/a (SS_tot~0)	0.4317	[0.277, 0.5801]	0.4317	[0.277, 0.5801]		1.447	0.0416	8	8	100.0	0.0		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	CheckM2 1.0.1	8	8	code	98.142	0.015	1.8506	[1.1712, 2.9119]	1.8506	[1.1712, 2.9119]	n/a (SS_tot~0)	0.1669	[0.0402, 0.3747]	0.1625	[0.0327, 0.3715]		1.447	0.0416	8	8	100.0	0.0		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	CoCoPyE 0.5.0	8	8	code	98.142	0.015	1.7422	[1.0765, 2.8103]	1.7422	[1.0765, 2.8103]	n/a (SS_tot~0)	0.4713	[0.0544, 1.147]	0.4412	[-0.0005, 1.1317]		1.447	0.0416	8	8	100.0	0.0		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	DeepCheck	8	8	code	98.142	0.015	0.9794	[0.3292, 1.9789]	0.961	[0.2909, 1.9708]	n/a (SS_tot~0)	0.2836	[0.2214, 0.3528]	-0.1272	[-0.3016, 0.077]		1.447	0.0416	8	8	100.0	0.0		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
NCBI Tier-1 pairs (leakage-free)	ncbi_pairs	primary_leakage_free	MAGICC V5	913	124	species_taxid	97.697	0.6844	2.2251	[1.5748, 3.1516]	1.7931	[1.0863, 2.7016]	n/a (SS_tot~0)	1.2694	[0.9692, 1.736]	0.5391	[0.095, 0.9786]		2.122	1.6126	869	887	93.54	2.17		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
NCBI Tier-1 pairs (leakage-free)	ncbi_pairs	primary_leakage_free	CheckM2 1.0.1	913	124	species_taxid	97.697	0.6844	2.7279	[1.9509, 3.924]	1.822	[0.7733, 2.8559]	n/a (SS_tot~0)	1.4925	[1.0867, 1.8449]	0.7153	[0.1863, 1.1336]		2.122	1.6126	869	865	90.58	4.46		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
NCBI Tier-1 pairs (leakage-free)	ncbi_pairs	primary_leakage_free	CoCoPyE 0.5.0	913	124	species_taxid	97.697	0.6844	2.3573	[1.6609, 3.3263]	2.0788	[1.36, 3.007]	n/a (SS_tot~0)	2.2289	[1.2379, 3.6906]	1.3216	[0.2478, 2.8588]		2.122	1.6126	869	858	90.91	5.26		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
NCBI Tier-1 pairs (all)	ncbi_pairs	all_tier1_pairs	MAGICC V5	1096	164	species_taxid	97.804	0.6989	2.1028	[1.5348, 2.8944]	1.7258	[1.0757, 2.5121]	n/a (SS_tot~0)	1.2195	[0.942, 1.6332]	0.4335	[-0.0282, 0.7935]		2.09	1.6859	1042	1068	93.7	1.91		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
NCBI Tier-1 pairs (all)	ncbi_pairs	all_tier1_pairs	CheckM2 1.0.1	1096	164	species_taxid	97.804	0.6989	2.5444	[1.8303, 3.6341]	1.7717	[0.7926, 2.6871]	n/a (SS_tot~0)	1.4401	[1.069, 1.7803]	0.6073	[0.0888, 1.0031]		2.09	1.6859	1042	1040	90.69	4.39		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
NCBI Tier-1 pairs (all)	ncbi_pairs	all_tier1_pairs	CoCoPyE 0.5.0	1096	164	species_taxid	97.804	0.6989	2.2256	[1.6126, 3.0815]	1.9783	[1.3225, 2.7601]	n/a (SS_tot~0)	2.0738	[1.2059, 3.4254]	1.1206	[0.11, 2.5255]		2.09	1.6859	1042	1036	91.51	4.58		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	339	196	CAMI II source genome (dominant)	79.8633	0.0	3.9796	[3.1855, 4.8789]	-0.5083	[-1.6071, 0.4819]	0.8657	1.2655	[0.7162, 2.0526]	1.2655	[0.7162, 2.0526]				139	118	87.91	5.31	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	339	196	CAMI II source genome (dominant)	80.1691	0.0	13.4538	[12.1188, 14.8180]	-13.3272	[-14.7034, -11.9818]	0.0611	2.5851	[2.3439, 2.8388]	2.5851	[2.3439, 2.8388]				139	93	86.43	12.98	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	339	196	CAMI II source genome (dominant)	80.1691	0.0	11.5078	[10.2542, 12.7796]	11.4058	[10.1158, 12.6954]	0.2979	21.451	[19.5023, 23.3467]	21.451	[19.5023, 23.3467]				139	79	82.3	76.7	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	339	196	CAMI II source genome (dominant)	80.1691	0.0	17.59	[15.9893, 19.1476]	-17.59	[-19.1476, -15.9893]	-0.436	2.8786	[2.6377, 3.1345]	2.8386	[2.5903, 3.1045]				139	93	86.43	16.22	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	864	193	CAMI II source genome (dominant)	76.9833	11.4103	7.1974	[6.5312, 7.8854]	4.1992	[3.0355, 5.4142]	0.5361	6.4531	[5.9133, 7.0056]	-4.1931	[-5.0413, -3.3087]	0.1859			55	185	79.86	12.66	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	864	193	CAMI II source genome (dominant)	76.9833	11.4103	7.2045	[6.4974, 8.0245]	-3.6147	[-4.7407, -2.6383]	0.4935	5.9043	[5.5429, 6.2725]	-4.9357	[-5.3671, -4.4935]	0.3214			55	91	88.89	18.99	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	864	193	CAMI II source genome (dominant)	76.9833	11.4103	8.5573	[7.6257, 9.5329]	8.1019	[7.0748, 9.1898]	0.2985	17.5006	[16.0023, 19.0830]	17.1183	[15.5313, 18.7607]	-4.2927			55	30	94.33	72.78	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	864	193	CAMI II source genome (dominant)	76.9833	11.4103	9.0209	[8.0744, 10.1130]	-6.0463	[-7.3948, -4.8289]	0.2335	6.3148	[5.8909, 6.7046]	-5.5517	[-5.9873, -5.0749]	0.2351			55	117	85.88	11.39	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	700	330	CAMI II source genome (dominant)	80.7002	0.0	1.2955	[1.1615, 1.4628]	-0.0519	[-0.2022, 0.1102]	0.9847	0.5028	[0.4013, 0.6606]	0.5028	[0.4013, 0.6606]				277	252	95.86	0.29	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	700	330	CAMI II source genome (dominant)	80.686	0.0	13.958	[13.1869, 14.6878]	-13.8452	[-14.5910, -13.0591]	-0.0857	3.0153	[2.8520, 3.1842]	3.0153	[2.8520, 3.1842]				277	176	85.57	19.0	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	700	330	CAMI II source genome (dominant)	80.686	0.0	11.562	[10.8516, 12.2505]	11.548	[10.8436, 12.2377]	0.1988	23.5651	[22.5959, 24.6076]	23.5651	[22.5959, 24.6076]				277	144	81.0	79.43	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	700	330	CAMI II source genome (dominant)	80.686	0.0	17.4661	[16.6759, 18.2488]	-17.4661	[-18.2488, -16.6759]	-0.547	3.1791	[3.0357, 3.3172]	3.1502	[3.0046, 3.2891]				277	183	86.57	20.29	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II strain-madness, constructed mixed bins (leakage-free, in-domain)	cami2_strain_madness	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	2250	335	CAMI II source genome (dominant)	75.5232	10.6104	4.2178	[4.0029, 4.4469]	2.7003	[2.4071, 2.9896]	0.7402	4.4411	[4.2359, 4.6668]	-3.6539	[-3.9418, -3.3730]	0.0223			149	301	85.78	0.67	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II strain-madness, constructed mixed bins (leakage-free, in-domain)	cami2_strain_madness	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	2250	335	CAMI II source genome (dominant)	75.5232	10.6104	7.1556	[6.7495, 7.5768]	-4.1784	[-4.7754, -3.6091]	0.4067	5.9184	[5.7039, 6.1308]	-5.2468	[-5.5008, -4.9834]	-0.2745			149	196	89.64	12.33	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II strain-madness, constructed mixed bins (leakage-free, in-domain)	cami2_strain_madness	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	2250	335	CAMI II source genome (dominant)	75.5232	10.6104	7.782	[7.3212, 8.3003]	7.4278	[6.9312, 7.9684]	0.2405	16.7531	[15.9169, 17.6456]	16.4969	[15.6227, 17.4301]	-8.4481			149	56	95.16	69.51	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II strain-madness, constructed mixed bins (leakage-free, in-domain)	cami2_strain_madness	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	2250	335	CAMI II source genome (dominant)	75.5232	10.6104	8.5013	[8.0008, 9.0306]	-6.5444	[-7.2278, -5.9213]	0.1647	6.294	[6.0794, 6.4993]	-5.7904	[-6.0284, -5.5390]	-0.4202			149	204	89.11	13.45	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
