scope	tool	tool_label	metric	error_kind	covariate	n	n_clusters	spearman_rho	rho_ci_lo	rho_ci_hi	p_cluster_bootstrap
POOLED_leakage_free_5_sets	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	abs	log10_dominant_genome_size_mbp	5000	1648	-0.13489579850191058	-0.1787651045285569	-0.08893483460684261	0.0009995002498750624
POOLED_leakage_free_5_sets	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	signed	log10_dominant_genome_size_mbp	5000	1648	0.09762549833161221	0.04342536568628961	0.14936762748642687	0.0009995002498750624
POOLED_leakage_free_5_sets	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	abs	log10_dominant_genome_size_mbp	5000	1648	-0.3300049147673153	-0.36244292280146256	-0.29408663851300604	0.0009995002498750624
POOLED_leakage_free_5_sets	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	signed	log10_dominant_genome_size_mbp	5000	1648	0.19067796937554876	0.138237296939688	0.24268109336771357	0.0009995002498750624
POOLED_leakage_free_5_sets	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	completeness	abs	log10_dominant_genome_size_mbp	3000	1648	0.1567244385871634			
POOLED_leakage_free_5_sets	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	completeness	signed	log10_dominant_genome_size_mbp	3000	1648	0.03972389796097997			
POOLED_leakage_free_5_sets	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	contamination	abs	log10_dominant_genome_size_mbp	3000	1648	-0.00187104132249066			
POOLED_leakage_free_5_sets	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	contamination	signed	log10_dominant_genome_size_mbp	3000	1648	0.10717266765862542			
POOLED_leakage_free_5_sets	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	completeness	abs	log10_dominant_genome_size_mbp	3000	1648	0.005643334993476136			
POOLED_leakage_free_5_sets	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	completeness	signed	log10_dominant_genome_size_mbp	3000	1648	0.15728865321068236			
POOLED_leakage_free_5_sets	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	contamination	abs	log10_dominant_genome_size_mbp	3000	1648	0.04324554310511252			
POOLED_leakage_free_5_sets	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	contamination	signed	log10_dominant_genome_size_mbp	3000	1648	0.09345144096856262			
POOLED_leakage_free_5_sets	checkm2	CheckM2 1.0.1	completeness	abs	log10_dominant_genome_size_mbp	5000	1648	-0.27325140085181976	-0.3066830037368619	-0.23978143398784693	0.0009995002498750624
POOLED_leakage_free_5_sets	checkm2	CheckM2 1.0.1	completeness	signed	log10_dominant_genome_size_mbp	5000	1648	0.37039356384552036	0.33124864419811995	0.4078166288534498	0.0009995002498750624
POOLED_leakage_free_5_sets	checkm2	CheckM2 1.0.1	contamination	abs	log10_dominant_genome_size_mbp	5000	1648	-0.47292757417365744	-0.49885729954768815	-0.44449989864806044	0.0009995002498750624
POOLED_leakage_free_5_sets	checkm2	CheckM2 1.0.1	contamination	signed	log10_dominant_genome_size_mbp	5000	1648	0.5455384894119234	0.5196859001316019	0.569464756194731	0.0009995002498750624
POOLED_leakage_free_5_sets	cocopye	CoCoPyE 0.5.0	completeness	abs	log10_dominant_genome_size_mbp	5000	1648	-0.39220298810199306	-0.4357505774031981	-0.3468122312210996	0.0009995002498750624
POOLED_leakage_free_5_sets	cocopye	CoCoPyE 0.5.0	completeness	signed	log10_dominant_genome_size_mbp	5000	1648	0.3651242795505318	0.3224181194035246	0.4045941894536643	0.0009995002498750624
POOLED_leakage_free_5_sets	cocopye	CoCoPyE 0.5.0	contamination	abs	log10_dominant_genome_size_mbp	5000	1648	-0.3400837660412836	-0.36935083735091306	-0.3073451692180414	0.0009995002498750624
POOLED_leakage_free_5_sets	cocopye	CoCoPyE 0.5.0	contamination	signed	log10_dominant_genome_size_mbp	5000	1648	0.2592944343638056	0.22594344276927997	0.29126773740191747	0.0009995002498750624
POOLED_leakage_free_5_sets	deepcheck	DeepCheck	completeness	abs	log10_dominant_genome_size_mbp	5000	1648	-0.19620741812255496	-0.24643032037482474	-0.14394460874887313	0.0009995002498750624
POOLED_leakage_free_5_sets	deepcheck	DeepCheck	completeness	signed	log10_dominant_genome_size_mbp	5000	1648	0.5815921315715161	0.5412247411790745	0.619566004983837	0.0009995002498750624
POOLED_leakage_free_5_sets	deepcheck	DeepCheck	contamination	abs	log10_dominant_genome_size_mbp	5000	1648	-0.37933109452192193	-0.40694146163942985	-0.35028491718834837	0.0009995002498750624
POOLED_leakage_free_5_sets	deepcheck	DeepCheck	contamination	signed	log10_dominant_genome_size_mbp	5000	1648	0.46325557483134894	0.4367574787309726	0.4885498884169021	0.0009995002498750624
set_A_v2	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	abs	log10_dominant_genome_size_mbp	1000	798	0.10529372463402889	0.04003879814766607	0.17009690453430604	0.00399800099950025
set_A_v2	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	signed	log10_dominant_genome_size_mbp	1000	798	0.11974102465362045	0.05404372913679305	0.1838349972545471	0.0009995002498750624
set_A_v2	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	abs	log10_dominant_genome_size_mbp	1000	798	-0.12137601296236261	-0.190878064586107	-0.05429471388058766	0.001999000499750125
set_A_v2	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	signed	log10_dominant_genome_size_mbp	1000	798	-0.12137601296236261	-0.190878064586107	-0.05429471388058766	0.001999000499750125
set_A_v2	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	completeness	abs	log10_dominant_genome_size_mbp	1000	798	0.1774786017038844	0.11401971911541908	0.2376271141376459	0.0009995002498750624
set_A_v2	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	completeness	signed	log10_dominant_genome_size_mbp	1000	798	0.08447581764782681	0.018280425519262174	0.15121671329240374	0.012993503248375811
set_A_v2	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	contamination	abs	log10_dominant_genome_size_mbp	1000	798	-0.10202348615071657	-0.16988769163931147	-0.037444491320433336	0.00399800099950025
set_A_v2	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	contamination	signed	log10_dominant_genome_size_mbp	1000	798	-0.10202348615071657	-0.16988769163931147	-0.037444491320433336	0.00399800099950025
set_A_v2	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	completeness	abs	log10_dominant_genome_size_mbp	1000	798	0.09313167189198393	0.02613076190725507	0.157096800827171	0.004997501249375313
set_A_v2	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	completeness	signed	log10_dominant_genome_size_mbp	1000	798	0.16370529235993295	0.10162463077171259	0.22601819923801947	0.0009995002498750624
set_A_v2	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	contamination	abs	log10_dominant_genome_size_mbp	1000	798	0.037087786685220885	-0.031196215034441647	0.10632658135779141	0.2938530734632684
set_A_v2	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	contamination	signed	log10_dominant_genome_size_mbp	1000	798	0.037087786685220885	-0.031196215034441647	0.10632658135779141	0.2938530734632684
set_A_v2	checkm2	CheckM2 1.0.1	completeness	abs	log10_dominant_genome_size_mbp	1000	798	0.11808324999751083	0.05380346094082035	0.1751094767302682	0.0009995002498750624
set_A_v2	checkm2	CheckM2 1.0.1	completeness	signed	log10_dominant_genome_size_mbp	1000	798	0.3056485870613284	0.24487248734991457	0.3611468024006329	0.0009995002498750624
set_A_v2	checkm2	CheckM2 1.0.1	contamination	abs	log10_dominant_genome_size_mbp	1000	798	0.022450508184563858	-0.04722185287627067	0.09131745925511228	0.526736631684158
set_A_v2	checkm2	CheckM2 1.0.1	contamination	signed	log10_dominant_genome_size_mbp	1000	798	0.022450508184563858	-0.04722185287627067	0.09131745925511228	0.526736631684158
set_A_v2	cocopye	CoCoPyE 0.5.0	completeness	abs	log10_dominant_genome_size_mbp	1000	798	0.021623283327511848	-0.0443139739359431	0.09064078154430083	0.5247376311844077
set_A_v2	cocopye	CoCoPyE 0.5.0	completeness	signed	log10_dominant_genome_size_mbp	1000	798	0.1121326874349357	0.05062639614671273	0.17206473408775524	0.001999000499750125
set_A_v2	cocopye	CoCoPyE 0.5.0	contamination	abs	log10_dominant_genome_size_mbp	1000	798	-0.2920433316864032	-0.3516071008450409	-0.2262934625463369	0.0009995002498750624
set_A_v2	cocopye	CoCoPyE 0.5.0	contamination	signed	log10_dominant_genome_size_mbp	1000	798	-0.2920433316864032	-0.3516071008450409	-0.2262934625463369	0.0009995002498750624
set_A_v2	deepcheck	DeepCheck	completeness	abs	log10_dominant_genome_size_mbp	1000	798	0.03850801500637443	-0.02310046626611288	0.09995093986821052	0.24087956021989004
set_A_v2	deepcheck	DeepCheck	completeness	signed	log10_dominant_genome_size_mbp	1000	798	0.12863161450789173	0.06727701972936587	0.19062492953133606	0.0009995002498750624
set_A_v2	deepcheck	DeepCheck	contamination	abs	log10_dominant_genome_size_mbp	1000	798	0.06291762455964933	-0.00177091460142476	0.12529975903958154	0.06196901549225387
set_A_v2	deepcheck	DeepCheck	contamination	signed	log10_dominant_genome_size_mbp	1000	798	0.14627867769259856	0.07998213152891835	0.21146036516250435	0.0009995002498750624
set_B_v2	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	abs	log10_dominant_genome_size_mbp	1000	803	0.11217084732762853	0.046333296600392475	0.1754752637357666	0.0009995002498750624
set_B_v2	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	signed	log10_dominant_genome_size_mbp	1000	803	-0.11217084732762853	-0.17547526373576663	-0.04633329660039253	0.0009995002498750624
set_B_v2	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	abs	log10_dominant_genome_size_mbp	1000	803	0.025135088514249233	-0.03692968835474018	0.08751387845772289	0.4127936031984008
set_B_v2	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	signed	log10_dominant_genome_size_mbp	1000	803	0.17554799289554762	0.110232027051351	0.23511183236167346	0.0009995002498750624
set_B_v2	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	completeness	abs	log10_dominant_genome_size_mbp	1000	803	0.12753377198396457	0.05661449084458745	0.19335919821473163	0.0009995002498750624
set_B_v2	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	completeness	signed	log10_dominant_genome_size_mbp	1000	803	-0.12753377198396457	-0.19335919821473166	-0.056614490844587514	0.0009995002498750624
set_B_v2	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	contamination	abs	log10_dominant_genome_size_mbp	1000	803	0.10108734532898045	0.03574605000637316	0.1634997918209442	0.004997501249375313
set_B_v2	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	contamination	signed	log10_dominant_genome_size_mbp	1000	803	0.2567801995281497	0.19143205396801863	0.315415819245523	0.0009995002498750624
set_B_v2	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	completeness	abs	log10_dominant_genome_size_mbp	1000	803	-0.23653593487028832	-0.2965316558936546	-0.17348723245342185	0.0009995002498750624
