cohort	tool	tool_key	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_r2	comp_r2_pearson	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_r2	cont_r2_pearson	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd	r2_min_truth_sd_pp	comp_r2_interpretable	cont_r2_interpretable	denominator	note
all_MOCK1_comp>=50	CoCoPyE 0.5.0	cocopye	308	52	accession	4.6831	3.5341	5.9478	2.7097	1.1625	4.2115	7.4898	0.5693	0.6258	22.065	18.9119	25.3053	22.055	18.9078	25.2936	42.9055	-4022.3455	0.0066	92.209	0.2651	11.431	0.6775	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms (includes TRAIN/VAL references), true completeness >= 50 %. All 7 assemblies. Tool-specific scoring coverage; not an all-tool comparison.
all_MOCK1_comp>=50	DeepCheck	deepcheck	308	52	accession	13.9752	12.3291	15.6535	-13.1697	-15.0433	-11.3016	23.6473	-3.2936	0.3708	1.8504	1.5451	2.1565	1.6941	1.3475	2.0339	2.8331	-16.5417	0.0501	92.209	0.2651	11.431	0.6775	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms (includes TRAIN/VAL references), true completeness >= 50 %. All 7 assemblies. Tool-specific scoring coverage; not an all-tool comparison.
all_MOCK1_comp>=50_ORF_intact	MAGICC V5	magicc	269	52	accession	4.0238	2.7693	5.9266	1.8792	-0.3449	3.3903	7.0617	0.6162	0.6843	1.3493	0.7584	2.2442	1.2038	0.5817	2.1016	2.9752	-23.1545	0.0088	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only. Tool-specific scoring coverage; not an all-tool comparison.
all_MOCK1_comp>=50_ORF_intact	CheckM2 1.0.1	checkm2	269	52	accession	6.3463	4.8942	7.8721	-4.3865	-6.3207	-2.4847	9.6049	0.2899	0.825	1.6643	1.2914	2.0908	1.6081	1.2199	2.0561	2.5667	-16.9766	0.149	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only. Tool-specific scoring coverage; not an all-tool comparison.
all_MOCK1_comp>=50_ORF_intact	CoCoPyE 0.5.0	cocopye	269	52	accession	5.1144	3.8158	6.5177	3.2721	1.5292	4.9353	7.9307	0.5159	0.5991	9.6473	7.176	12.2797	9.6358	7.1638	12.2639	15.3654	-643.2402	0.0536	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only. Tool-specific scoring coverage; not an all-tool comparison.
all_MOCK1_comp>=50_ORF_intact	DeepCheck	deepcheck	269	52	accession	7.7619	5.9032	9.7699	-6.8396	-9.1026	-4.7377	11.6662	-0.0476	0.8435	1.5104	1.1862	1.8511	1.346	0.9781	1.727	2.2695	-13.0543	0.0926	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only. Tool-specific scoring coverage; not an all-tool comparison.
ORF_compromised_assembly_only	MAGICC V5	magicc	39	39	accession	4.9048	2.8494	7.4549	-2.9204	-5.7781	-0.5916	8.7987	0.4043	0.6079	1.5719	0.7579	2.5755	1.3396	0.4932	2.3813	3.2406	-8.6885	0.013	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result. Tool-specific scoring coverage; not an all-tool comparison.
ORF_compromised_assembly_only	CheckM2 1.0.1	checkm2	39	39	accession	50.6879	45.5215	55.3439	-50.6879	-55.3439	-45.5215	53.0959	-20.6924	0.1576	3.4504	2.8736	4.0496	3.4122	2.8092	4.0299	3.9473	-13.375	0.0476	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result. Tool-specific scoring coverage; not an all-tool comparison.
ORF_compromised_assembly_only	CoCoPyE 0.5.0	cocopye	39	39	accession	1.7076	1.0078	2.5905	-1.1696	-2.1294	-0.36	3.0343	0.9292	0.9574	107.7153	96.3746	119.2626	107.7153	96.3746	119.2626	113.6213	-11909.3641	0.0001	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result. Tool-specific scoring coverage; not an all-tool comparison.
ORF_compromised_assembly_only	DeepCheck	deepcheck	39	39	accession	56.8308	51.7475	61.7072	-56.8308	-61.7072	-51.7475	58.9701	-25.7578	0.0987	4.1951	3.24	5.2562	4.095	3.0528	5.169	5.2783	-24.704	0.0046	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result. Tool-specific scoring coverage; not an all-tool comparison.
leakage_free_all_bins	MAGICC V5	magicc	137	23	accession	9.4425	5.9603	14.0994	7.6804	3.6814	12.8214	15.9987	0.7397	0.9025	0.7913	0.4601	1.1335	0.634	0.2622	1.013	1.679	-11.2536	0.0003	78.174	0.2504	31.473	0.4814	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor. Tool-specific scoring coverage; not an all-tool comparison.
leakage_free_all_bins	CheckM2 1.0.1	checkm2	137	23	accession	9.7633	7.9016	11.6245	-7.3147	-9.8885	-4.8685	18.959	0.6345	0.7286	2.3693	1.8062	2.9638	2.3561	1.796	2.9568	3.367	-48.2768	0.1968	78.174	0.2504	31.473	0.4814	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor. Tool-specific scoring coverage; not an all-tool comparison.
leakage_free_all_bins	CoCoPyE 0.5.0	cocopye	130	21	accession	5.9087	3.7217	8.5499	5.6852	3.4461	8.3028	9.3066	0.8807	0.9505	22.6558	17.6292	28.0245	22.6336	17.6151	28.0114	43.8236	-8028.5331	0.0143	82.151	0.2633	27.052	0.491	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor. Tool-specific scoring coverage; not an all-tool comparison.
leakage_free_all_bins	DeepCheck	deepcheck	137	23	accession	13.0262	10.8651	15.3704	-9.2266	-12.6465	-5.4677	22.8647	0.4684	0.6083	2.1329	1.6862	2.6597	2.0167	1.5198	2.5747	3.6568	-57.1265	0.0374	78.174	0.2504	31.473	0.4814	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor. Tool-specific scoring coverage; not an all-tool comparison.
all_MOCK1_all_bins	MAGICC V5	magicc	394	62	accession	9.7741	7.2791	12.8477	7.5353	4.4297	10.7763	16.8925	0.7223	0.8581	1.1514	0.6789	1.7995	1.0145	0.5233	1.6799	2.7063	-18.9808	0.0135	76.616	0.2287	32.094	0.6062	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor. Tool-specific scoring coverage; not an all-tool comparison.
all_MOCK1_all_bins	CheckM2 1.0.1	checkm2	394	62	accession	10.8312	9.4862	12.1215	-9.0652	-10.747	-7.4409	19.019	0.6479	0.7669	1.7292	1.4244	2.0519	1.6767	1.3647	2.0147	2.6345	-17.934	0.1115	76.616	0.2287	32.094	0.6062	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor. Tool-specific scoring coverage; not an all-tool comparison.
all_MOCK1_all_bins	CoCoPyE 0.5.0	cocopye	367	60	accession	6.1511	4.9048	7.6185	4.3889	2.7603	6.0993	9.3032	0.8823	0.9179	20.8412	17.9361	23.7144	20.8328	17.9295	23.7078	40.3577	-4170.7923	0.0074	81.577	0.2426	27.158	0.6257	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor. Tool-specific scoring coverage; not an all-tool comparison.
all_MOCK1_all_bins	DeepCheck	deepcheck	394	62	accession	13.5307	12.1359	15.064	-10.1021	-12.2343	-7.8487	21.9197	0.5324	0.6684	2.0095	1.742	2.3088	1.8847	1.5911	2.2069	3.3446	-29.5161	0.0216	76.616	0.2287	32.094	0.6062	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor. Tool-specific scoring coverage; not an all-tool comparison.
below_50pct_floor	MAGICC V5	magicc	86	24	accession	29.9686	25.0052	34.7557	29.9686	25.0052	34.7557	33.4103	-3.4448	0.5346	0.3418	0.1386	0.5824	0.2749	0.066	0.5256	1.0512	-57.2706	0.0278	20.771	0.0983	15.94	0.1385	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime. Tool-specific scoring coverage; not an all-tool comparison.
below_50pct_floor	CheckM2 1.0.1	checkm2	86	24	accession	6.785	4.9338	9.006	-4.8241	-7.6529	-2.2689	9.4958	0.641	0.7403	1.1518	0.7808	1.5795	1.1041	0.7371	1.54	2.031	-216.5068	0.0825	20.771	0.0983	15.94	0.1385	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime. Tool-specific scoring coverage; not an all-tool comparison.
below_50pct_floor	CoCoPyE 0.5.0	cocopye	59	20	accession	13.8149	11.3272	16.0886	13.1551	9.8624	15.8637	15.6691	-0.0916	0.8039	14.4528	9.2801	19.9294	14.4525	9.2798	19.9291	22.8321	-22115.4005	0.0012	26.075	0.1253	15.126	0.1548	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime. Tool-specific scoring coverage; not an all-tool comparison.
below_50pct_floor	DeepCheck	deepcheck	86	24	accession	11.9387	10.2522	14.1061	0.8844	-3.3079	5.0316	14.0903	0.2095	0.2284	2.5794	1.9523	3.3479	2.5672	1.9445	3.3368	4.7438	-1185.5593	0.0037	20.771	0.0983	15.94	0.1385	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime. Tool-specific scoring coverage; not an all-tool comparison.
